date,year,month,day,so2,nox,o3,pm2.5,pm10,co,aqi_pm25,aqi_pm10,aqi
8/22/2014,2014,8,22,3.02275,17.7945,35.12470833,0.121041667,0.0,0.146,0.5043402791666667,0.0,0.5043402791666667
8/23/2014,2014,8,23,,16.8645,37.68645833,0.120625,0.0,0.199166667,0.5026041666666667,0.0,0.5026041666666667
8/24/2014,2014,8,24,,15.75516667,33.8275,0.1205,4.17e-05,0.273875,0.5020833333333333,3.861111111111111e-05,0.5020833333333333
8/25/2014,2014,8,25,4.235416667,14.12045833,39.6605,0.120166667,8.33e-05,0.263125,0.5006944458333333,7.712962962962963e-05,0.5006944458333333
8/26/2014,2014,8,26,,17.09154167,41.76779167,0.120916667,0.0,0.283083333,0.5038194458333334,0.0,0.5038194458333334
8/27/2014,2014,8,27,3.964458333,15.80620833,37.98066667,0.121041667,0.0,0.299125,0.5043402791666667,0.0,0.5043402791666667
8/28/2014,2014,8,28,4.882958333,14.54925,34.698625,0.12025,0.0,0.289541667,0.5010416666666667,0.0,0.5010416666666667
8/29/2014,2014,8,29,,17.428875,28.81704167,0.119541667,0.0,0.235333333,0.4980902791666667,0.0,0.4980902791666667
8/30/2014,2014,8,30,3.13475,15.88458333,29.902625,0.120958333,4.17e-05,0.173291667,0.5039930541666667,3.861111111111111e-05,0.5039930541666667
8/31/2014,2014,8,31,4.311875,15.819375,36.95075,0.120875,0.0,0.219833333,0.5036458333333333,0.0,0.5036458333333333
09/01/2014,2014,9,1,2.824083333,15.232875,29.24545833,0.11775,0.0,0.238291667,0.49062500000000003,0.0,0.49062500000000003
09/02/2014,2014,9,2,3.293541667,15.148375,34.23716667,0.121041667,0.0,0.250875,0.5043402791666667,0.0,0.5043402791666667
09/03/2014,2014,9,3,3.436916667,14.23970833,33.17475,0.118125,4.17e-05,0.212916667,0.4921875,3.861111111111111e-05,0.4921875
09/04/2014,2014,9,4,4.047708333,15.45766667,35.978875,0.119708333,0.0,0.193541667,0.49878472083333336,0.0,0.49878472083333336
09/05/2014,2014,9,5,4.278958333,12.98595833,36.07625,0.120666667,0.0,0.240958333,0.5027777791666668,0.0,0.5027777791666668
09/06/2014,2014,9,6,4.9205,15.69375,38.50629167,0.120625,0.0,0.278208333,0.5026041666666667,0.0,0.5026041666666667
09/07/2014,2014,9,7,3.433166667,13.89379167,39.48795833,0.11875,0.0,0.22775,0.4947916666666667,0.0,0.4947916666666667
09/08/2014,2014,9,8,3.577833333,12.04316667,38.78879167,0.119375,0.0,0.230541667,0.49739583333333337,0.0,0.49739583333333337
09/09/2014,2014,9,9,3.299125,21.124625,30.31225,0.120708333,0.0,0.332583333,0.5029513875,0.0,0.5029513875
09/10/2014,2014,9,10,2.674625,21.37254167,24.94766667,0.120875,0.0,,0.5036458333333333,0.0,0.5036458333333333
09/11/2014,2014,9,11,2.71075,20.85333333,24.67083333,0.120833333,0.0,,0.5034722208333334,0.0,0.5034722208333334
09/12/2014,2014,9,12,,17.70570833,32.16516667,0.120083333,0.0,,0.5003472208333334,0.0,0.5003472208333334
9/13/2014,2014,9,13,3.171208333,16.20770833,30.36045833,0.121083333,0.0,0.271708333,0.5045138875,0.0,0.5045138875
9/14/2014,2014,9,14,,16.89404167,31.99054167,0.120541667,0.0,0.449833333,0.5022569458333334,0.0,0.5022569458333334
9/15/2014,2014,9,15,,13.342875,36.21658333,0.1215,4.17e-05,0.502208333,0.50625,3.861111111111111e-05,0.50625
9/16/2014,2014,9,16,3.232666667,17.949875,29.96366667,0.121208333,0.0,0.20275,0.5050347208333333,0.0,0.5050347208333333
9/17/2014,2014,9,17,,13.877625,30.30020833,0.11875,0.0,0.1855,0.4947916666666667,0.0,0.4947916666666667
